#    L    TT             EE             BB             TE             PP             TP             EP          
   196    0.37282E+03    0.62949E+00    0.00000E+00   -0.46764E+01    0.40409E-07    0.17123E-03   -0.32025E-06
   197    0.37046E+03    0.62762E+00    0.00000E+00   -0.43356E+01    0.40188E-07    0.16968E-03   -0.30589E-06
   198    0.36815E+03    0.62648E+00    0.00000E+00   -0.39927E+01    0.39968E-07    0.16814E-03   -0.29149E-06
   199    0.36590E+03    0.62613E+00    0.00000E+00   -0.36483E+01    0.39751E-07    0.16662E-03   -0.27706E-06
   200    0.36373E+03    0.62659E+00    0.00000E+00   -0.33032E+01    0.39536E-07    0.16512E-03   -0.26265E-06
   201    0.36155E+03    0.62792E+00    0.00000E+00   -0.29565E+01    0.39322E-07    0.16363E-03   -0.24827E-06
   202    0.35946E+03    0.63011E+00    0.00000E+00   -0.26091E+01    0.39110E-07    0.16216E-03   -0.23393E-06
   203    0.35737E+03    0.63325E+00    0.00000E+00   -0.22598E+01    0.38900E-07    0.16071E-03   -0.21963E-06
   204    0.35521E+03    0.63733E+00    0.00000E+00   -0.19110E+01    0.38691E-07    0.15927E-03   -0.20538E-06
   205    0.35312E+03    0.64241E+00    0.00000E+00   -0.15600E+01    0.38485E-07    0.15784E-03   -0.19118E-06
   206    0.35097E+03    0.64853E+00    0.00000E+00   -0.12073E+01    0.38280E-07    0.15643E-03   -0.17701E-06
   207    0.34889E+03    0.65570E+00    0.00000E+00   -0.85303E+00    0.38077E-07    0.15504E-03   -0.16290E-06
   208    0.34667E+03    0.66398E+00    0.00000E+00   -0.49702E+00    0.37875E-07    0.15366E-03   -0.14883E-06
   209    0.34445E+03    0.67338E+00    0.00000E+00   -0.13913E+00    0.37676E-07    0.15230E-03   -0.13480E-06
   210    0.34223E+03    0.68396E+00    0.00000E+00    0.22031E+00    0.37478E-07    0.15095E-03   -0.12083E-06
   211    0.34001E+03    0.69575E+00    0.00000E+00    0.58179E+00    0.37281E-07    0.14961E-03   -0.10690E-06
   212    0.33764E+03    0.70877E+00    0.00000E+00    0.94491E+00    0.37086E-07    0.14829E-03   -0.93024E-07
