#    L    TT             EE             TE             PP             TP          
   244    0.25277E+03    0.19693E+01    0.13159E+02    0.14641E+07    0.19195E+04
   245    0.24983E+03    0.20401E+01    0.13535E+02    0.14572E+07    0.19038E+04
   246    0.24695E+03    0.21130E+01    0.13910E+02    0.14504E+07    0.18882E+04
   247    0.24413E+03    0.21880E+01    0.14283E+02    0.14436E+07    0.18728E+04
   248    0.24128E+03    0.22655E+01    0.14653E+02    0.14369E+07    0.18575E+04
   249    0.23857E+03    0.23448E+01    0.15021E+02    0.14302E+07    0.18424E+04
   250    0.23584E+03    0.24266E+01    0.15386E+02    0.14236E+07    0.18275E+04
   251    0.23324E+03    0.25103E+01    0.15748E+02    0.14171E+07    0.18126E+04
   252    0.23053E+03    0.25964E+01    0.16108E+02    0.14105E+07    0.17980E+04
   253    0.22808E+03    0.26845E+01    0.16463E+02    0.14041E+07    0.17834E+04
   254    0.22559E+03    0.27750E+01    0.16815E+02    0.13976E+07    0.17691E+04
   255    0.22311E+03    0.28676E+01    0.17164E+02    0.13912E+07    0.17548E+04
   256    0.22071E+03    0.29625E+01    0.17511E+02    0.13849E+07    0.17407E+04
   257    0.21838E+03    0.30595E+01    0.17848E+02    0.13786E+07    0.17268E+04
   258    0.21604E+03    0.31588E+01    0.18189E+02    0.13724E+07    0.17129E+04
   259    0.21374E+03    0.32604E+01    0.18518E+02    0.13662E+07    0.16993E+04
   260    0.21157E+03    0.33641E+01    0.18852E+02    0.13600E+07    0.16857E+04
   261    0.20935E+03    0.34700E+01    0.19168E+02    0.13539E+07    0.16723E+04
   262    0.20708E+03    0.35782E+01    0.19490E+02    0.13478E+07    0.16590E+04
   263    0.20512E+03    0.36886E+01    0.19810E+02    0.13418E+07    0.16459E+04
   264    0.20301E+03    0.38011E+01    0.20122E+02    0.13358E+07    0.16329E+04
   265    0.20082E+03    0.39159E+01    0.20419E+02    0.13298E+07    0.16200E+04
   266    0.19876E+03    0.40329E+01    0.20724E+02    0.13239E+07    0.16072E+04
   267    0.19660E+03    0.41520E+01    0.21015E+02    0.13181E+07    0.15946E+04
   268    0.19448E+03    0.42734E+01    0.21307E+02    0.13123E+07    0.15821E+04
   269    0.19224E+03    0.43968E+01    0.21593E+02    0.13065E+07    0.15697E+04
   270    0.19016E+03    0.45224E+01    0.21874E+02    0.13007E+07    0.15574E+04
   271    0.18802E+03    0.46501E+01    0.22152E+02    0.12950E+07    0.15453E+04
   272    0.18602E+03    0.47801E+01    0.22417E+02    0.12894E+07    0.15333E+04
   273    0.18394E+03    0.49118E+01    0.22687E+02    0.12838E+07    0.15214E+04
   274    0.18191E+03    0.50460E+01    0.22939E+02    0.12782E+07    0.15096E+04
   275    0.17985E+03    0.51819E+01    0.23197E+02    0.12726E+07    0.14980E+04
   276    0.17790E+03    0.53199E+01    0.23438E+02    0.12671E+07    0.14864E+04
   277    0.17582E+03    0.54600E+01    0.23685E+02    0.12616E+07    0.14750E+04
   278    0.17383E+03    0.56020E+01    0.23917E+02    0.12562E+07    0.14637E+04
