#    L    TT             EE             BB             TE          
   361    0.20946E+04    0.19401E+02    0.29728E-01    0.64934E+02
   362    0.20753E+04    0.19508E+02    0.29815E-01    0.63210E+02
   363    0.20565E+04    0.19612E+02    0.29901E-01    0.61471E+02
   364    0.20381E+04    0.19711E+02    0.29988E-01    0.59713E+02
   365    0.20201E+04    0.19808E+02    0.30075E-01    0.57943E+02
   366    0.20025E+04    0.19901E+02    0.30162E-01    0.56156E+02
   367    0.19854E+04    0.19990E+02    0.30249E-01    0.54356E+02
   368    0.19686E+04    0.20077E+02    0.30336E-01    0.52543E+02
   369    0.19524E+04    0.20161E+02    0.30423E-01    0.50716E+02
   370    0.19366E+04    0.20240E+02    0.30511E-01    0.48880E+02
   371    0.19211E+04    0.20316E+02    0.30598E-01    0.47032E+02
   372    0.19061E+04    0.20389E+02    0.30686E-01    0.45175E+02
   373    0.18916E+04    0.20458E+02    0.30774E-01    0.43306E+02
   374    0.18775E+04    0.20524E+02    0.30863E-01    0.41431E+02
   375    0.18638E+04    0.20587E+02    0.30951E-01    0.39547E+02
   376    0.18506E+04    0.20646E+02    0.31040E-01    0.37656E+02
   377    0.18378E+04    0.20700E+02    0.31130E-01    0.35761E+02
   378    0.18254E+04    0.20751E+02    0.31219E-01    0.33858E+02
   379    0.18135E+04    0.20799E+02    0.31309E-01    0.31953E+02
   380    0.18021E+04    0.20844E+02    0.31399E-01    0.30042E+02
   381    0.17910E+04    0.20882E+02    0.31490E-01    0.28129E+02
   382    0.17804E+04    0.20918E+02    0.31581E-01    0.26214E+02
   383    0.17702E+04    0.20950E+02    0.31672E-01    0.24297E+02
   384    0.17606E+04    0.20978E+02    0.31764E-01    0.22380E+02
   385    0.17512E+04    0.21003E+02    0.31856E-01    0.20463E+02
   386    0.17424E+04    0.21024E+02    0.31948E-01    0.18547E+02
   387    0.17339E+04    0.21040E+02    0.32041E-01    0.16633E+02
   388    0.17259E+04    0.21053E+02    0.32135E-01    0.14722E+02
   389    0.17183E+04    0.21060E+02    0.32228E-01    0.12815E+02
