#    L    TT             EE             BB             TE          
   250    0.51937E+04    0.23692E+01    0.17967E-01    0.62134E+02
   251    0.51775E+04    0.24505E+01    0.18108E-01    0.63688E+02
   252    0.51607E+04    0.25340E+01    0.18248E-01    0.65232E+02
   253    0.51435E+04    0.26195E+01    0.18389E-01    0.66764E+02
   254    0.51258E+04    0.27073E+01    0.18529E-01    0.68285E+02
   255    0.51075E+04    0.27972E+01    0.18670E-01    0.69795E+02
   256    0.50888E+04    0.28894E+01    0.18810E-01    0.71293E+02
   257    0.50696E+04    0.29836E+01    0.18950E-01    0.72772E+02
   258    0.50499E+04    0.30802E+01    0.19089E-01    0.74243E+02
   259    0.50298E+04    0.31788E+01    0.19228E-01    0.75693E+02
   260    0.50093E+04    0.32797E+01    0.19367E-01    0.77136E+02
   261    0.49882E+04    0.33826E+01    0.19506E-01    0.78550E+02
   262    0.49667E+04    0.34879E+01    0.19645E-01    0.79957E+02
   263    0.49449E+04    0.35953E+01    0.19783E-01    0.81349E+02
   264    0.49226E+04    0.37048E+01    0.19920E-01    0.82720E+02
   265    0.48997E+04    0.38164E+01    0.20058E-01    0.84062E+02
   266    0.48766E+04    0.39303E+01    0.20195E-01    0.85397E+02
   267    0.48529E+04    0.40462E+01    0.20332E-01    0.86702E+02
   268    0.48289E+04    0.41644E+01    0.20468E-01    0.87994E+02
   269    0.48043E+04    0.42846E+01    0.20604E-01    0.89263E+02
   270    0.47795E+04    0.44069E+01    0.20739E-01    0.90512E+02
   271    0.47542E+04    0.45312E+01    0.20874E-01    0.91738E+02
   272    0.47287E+04    0.46578E+01    0.21008E-01    0.92935E+02
   273    0.47027E+04    0.47862E+01    0.21142E-01    0.94119E+02
   274    0.46765E+04    0.49168E+01    0.21276E-01    0.95265E+02
   275    0.46499E+04    0.50493E+01    0.21409E-01    0.96398E+02
   276    0.46230E+04    0.51837E+01    0.21542E-01    0.97494E+02
   277    0.45957E+04    0.53202E+01    0.21674E-01    0.98576E+02
   278    0.45682E+04    0.54586E+01    0.21806E-01    0.99622E+02
   279    0.45403E+04    0.55989E+01    0.21937E-01    0.10064E+03
   280    0.45122E+04    0.57411E+01    0.22067E-01    0.10164E+03
   281    0.44839E+04    0.58852E+01    0.22197E-01    0.10261E+03
   282    0.44551E+04    0.60309E+01    0.22327E-01    0.10354E+03
   283    0.44262E+04    0.61785E+01    0.22456E-01    0.10445E+03
   284    0.43970E+04    0.63279E+01    0.22584E-01    0.10533E+03
   285    0.43677E+04    0.64791E+01    0.22712E-01    0.10618E+03
   286    0.43380E+04    0.66319E+01    0.22839E-01    0.10700E+03
   287    0.43081E+04    0.67864E+01    0.22966E-01    0.10779E+03
   288    0.42780E+04    0.69425E+01    0.23092E-01    0.10855E+03
   289    0.42477E+04    0.71002E+01    0.23217E-01    0.10927E+03
   290    0.42173E+04    0.72593E+01    0.23342E-01    0.10997E+03
   291    0.41866E+04    0.74205E+01    0.23467E-01    0.11063E+03
   292    0.41556E+04    0.75829E+01    0.23590E-01    0.11126E+03
   293    0.41246E+04    0.77459E+01    0.23713E-01    0.11185E+03
   294    0.40934E+04    0.79110E+01    0.23836E-01    0.11242E+03
   295    0.40622E+04    0.80768E+01    0.23958E-01    0.11295E+03
   296    0.40308E+04    0.82448E+01    0.24079E-01    0.11344E+03
   297    0.39992E+04    0.84128E+01    0.24200E-01    0.11391E+03
   298    0.39674E+04    0.85828E+01    0.24320E-01    0.11433E+03
   299    0.39356E+04    0.87544E+01    0.24439E-01    0.11472E+03
   300    0.39037E+04    0.89258E+01    0.24558E-01    0.11507E+03
   301    0.38716E+04    0.90987E+01    0.24676E-01    0.11540E+03
   302    0.38396E+04    0.92722E+01    0.24794E-01    0.11569E+03
   303    0.38074E+04    0.94472E+01    0.24910E-01    0.11594E+03
   304    0.37752E+04    0.96236E+01    0.25027E-01    0.11615E+03
   305    0.37430E+04    0.97999E+01    0.25142E-01    0.11633E+03
   306    0.37107E+04    0.99769E+01    0.25257E-01    0.11647E+03
   307    0.36783E+04    0.10155E+02    0.25371E-01    0.11657E+03
   308    0.36460E+04    0.10335E+02    0.25485E-01    0.11665E+03
   309    0.36137E+04    0.10514E+02    0.25598E-01    0.11667E+03
   310    0.35814E+04    0.10693E+02    0.25710E-01    0.11667E+03
   311    0.35491E+04    0.10874E+02    0.25822E-01    0.11663E+03
   312    0.35168E+04    0.11054E+02    0.25933E-01    0.11655E+03
   313    0.34846E+04    0.11235E+02    0.26043E-01    0.11643E+03
   314    0.34524E+04    0.11417E+02    0.26153E-01    0.11629E+03
   315    0.34203E+04    0.11598E+02    0.26262E-01    0.11610E+03
   316    0.33882E+04    0.11780E+02    0.26370E-01    0.11587E+03
   317    0.33562E+04    0.11961E+02    0.26478E-01    0.11561E+03
   318    0.33243E+04    0.12143E+02    0.26585E-01    0.11531E+03
   319    0.32925E+04    0.12325E+02    0.26691E-01    0.11497E+03
   320    0.32608E+04    0.12506E+02    0.26797E-01    0.11461E+03
   321    0.32292E+04    0.12689E+02    0.26902E-01    0.11420E+03
   322    0.31978E+04    0.12869E+02    0.27007E-01    0.11376E+03
   323    0.31664E+04    0.13050E+02    0.27111E-01    0.11328E+03
   324    0.31353E+04    0.13232E+02    0.27214E-01    0.11275E+03
   325    0.31043E+04    0.13410E+02    0.27317E-01    0.11221E+03
   326    0.30734E+04    0.13590E+02    0.27419E-01    0.11161E+03
   327    0.30426E+04    0.13769E+02    0.27520E-01    0.11099E+03
   328    0.30121E+04    0.13947E+02    0.27621E-01    0.11033E+03
   329    0.29818E+04    0.14124E+02    0.27721E-01    0.10963E+03
   330    0.29516E+04    0.14300E+02    0.27821E-01    0.10890E+03
   331    0.29218E+04    0.14476E+02    0.27920E-01    0.10814E+03
   332    0.28920E+04    0.14651E+02    0.28019E-01    0.10734E+03
   333    0.28625E+04    0.14825E+02    0.28117E-01    0.10651E+03
   334    0.28332E+04    0.14998E+02    0.28214E-01    0.10565E+03
   335    0.28041E+04    0.15169E+02    0.28311E-01    0.10475E+03
   336    0.27753E+04    0.15339E+02    0.28408E-01    0.10382E+03
   337    0.27467E+04    0.15508E+02    0.28504E-01    0.10284E+03
   338    0.27184E+04    0.15675E+02    0.28600E-01    0.10185E+03
   339    0.26904E+04    0.15842E+02    0.28695E-01    0.10081E+03
   340    0.26626E+04    0.16007E+02    0.28789E-01    0.99760E+02
   341    0.26351E+04    0.16170E+02    0.28884E-01    0.98662E+02
   342    0.26078E+04    0.16332E+02    0.28977E-01    0.97535E+02
   343    0.25809E+04    0.16492E+02    0.29071E-01    0.96379E+02
   344    0.25543E+04    0.16650E+02    0.29164E-01    0.95194E+02
   345    0.25280E+04    0.16806E+02    0.29257E-01    0.93980E+02
   346    0.25019E+04    0.16962E+02    0.29349E-01    0.92744E+02
   347    0.24762E+04    0.17114E+02    0.29441E-01    0.91471E+02
   348    0.24508E+04    0.17264E+02    0.29533E-01    0.90169E+02
   349    0.24257E+04    0.17413E+02    0.29624E-01    0.88838E+02
   350    0.24009E+04    0.17558E+02    0.29715E-01    0.87486E+02
   351    0.23767E+04    0.17703E+02    0.29806E-01    0.86104E+02
   352    0.23526E+04    0.17845E+02    0.29897E-01    0.84693E+02
   353    0.23289E+04    0.17984E+02    0.29988E-01    0.83268E+02
   354    0.23055E+04    0.18121E+02    0.30078E-01    0.81806E+02
   355    0.22825E+04    0.18256E+02    0.30168E-01    0.80322E+02
   356    0.22599E+04    0.18388E+02    0.30258E-01    0.78823E+02
   357    0.22376E+04    0.18518E+02    0.30348E-01    0.77296E+02
   358    0.22157E+04    0.18644E+02    0.30438E-01    0.75754E+02
   359    0.21942E+04    0.18767E+02    0.30527E-01    0.74183E+02
   360    0.21730E+04    0.18889E+02    0.30617E-01    0.72593E+02
   361    0.21522E+04    0.19008E+02    0.30706E-01    0.70981E+02
   362    0.21319E+04    0.19123E+02    0.30796E-01    0.69350E+02
   363    0.21119E+04    0.19237E+02    0.30885E-01    0.67701E+02
   364    0.20923E+04    0.19346E+02    0.30975E-01    0.66030E+02
   365    0.20731E+04    0.19453E+02    0.31064E-01    0.64345E+02
   366    0.20543E+04    0.19557E+02    0.31154E-01    0.62641E+02
   367    0.20360E+04    0.19657E+02    0.31243E-01    0.60921E+02
   368    0.20179E+04    0.19754E+02    0.31333E-01    0.59187E+02
   369    0.20004E+04    0.19849E+02    0.31423E-01    0.57435E+02
   370    0.19833E+04    0.19940E+02    0.31512E-01    0.55672E+02
   371    0.19665E+04    0.20027E+02    0.31602E-01    0.53894E+02
   372    0.19501E+04    0.20112E+02    0.31693E-01    0.52105E+02
   373    0.19342E+04    0.20193E+02    0.31783E-01    0.50302E+02
   374    0.19187E+04    0.20270E+02    0.31873E-01    0.48489E+02
   375    0.19036E+04    0.20345E+02    0.31964E-01    0.46666E+02
   376    0.18890E+04    0.20416E+02    0.32055E-01    0.44832E+02
   377    0.18748E+04    0.20483E+02    0.32146E-01    0.42991E+02
   378    0.18610E+04    0.20547E+02    0.32237E-01    0.41140E+02
   379    0.18475E+04    0.20607E+02    0.32329E-01    0.39283E+02
   380    0.18347E+04    0.20665E+02    0.32421E-01    0.37418E+02
   381    0.18221E+04    0.20716E+02    0.32513E-01    0.35547E+02
   382    0.18099E+04    0.20766E+02    0.32605E-01    0.33673E+02
   383    0.17983E+04    0.20811E+02    0.32698E-01    0.31792E+02
