#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   149    0.47190E+03   -0.15747E+02    0.18060E-05   -0.15747E+02    0.99453E+00   -0.43936E-08    0.18060E-05   -0.43936E-08    0.23877E-11
   150    0.47046E+03   -0.15642E+02    0.17757E-05   -0.15642E+02    0.98995E+00   -0.42904E-08    0.17757E-05   -0.42904E-08    0.23413E-11
   151    0.46902E+03   -0.15532E+02    0.17460E-05   -0.15532E+02    0.98496E+00   -0.41954E-08    0.17460E-05   -0.41954E-08    0.22960E-11
   152    0.46743E+03   -0.15417E+02    0.17168E-05   -0.15417E+02    0.97949E+00   -0.41085E-08    0.17168E-05   -0.41085E-08    0.22517E-11
   153    0.46587E+03   -0.15293E+02    0.16883E-05   -0.15293E+02    0.97369E+00   -0.40292E-08    0.16883E-05   -0.40292E-08    0.22085E-11
   154    0.46426E+03   -0.15165E+02    0.16603E-05   -0.15165E+02    0.96756E+00   -0.39569E-08    0.16603E-05   -0.39569E-08    0.21663E-11
   155    0.46261E+03   -0.15030E+02    0.16329E-05   -0.15030E+02    0.96110E+00   -0.38913E-08    0.16329E-05   -0.38913E-08    0.21251E-11
   156    0.46078E+03   -0.14889E+02    0.16061E-05   -0.14889E+02    0.95431E+00   -0.38317E-08    0.16061E-05   -0.38317E-08    0.20849E-11
   157    0.45907E+03   -0.14741E+02    0.15798E-05   -0.14741E+02    0.94719E+00   -0.37776E-08    0.15798E-05   -0.37776E-08    0.20457E-11
   158    0.45728E+03   -0.14587E+02    0.15541E-05   -0.14587E+02    0.93982E+00   -0.37286E-08    0.15541E-05   -0.37286E-08    0.20074E-11
   159    0.45541E+03   -0.14427E+02    0.15288E-05   -0.14427E+02    0.93204E+00   -0.36841E-08    0.15288E-05   -0.36841E-08    0.19700E-11
   160    0.45355E+03   -0.14260E+02    0.15041E-05   -0.14260E+02    0.92401E+00   -0.36436E-08    0.15041E-05   -0.36436E-08    0.19335E-11
   161    0.45170E+03   -0.14086E+02    0.14799E-05   -0.14086E+02    0.91580E+00   -0.36066E-08    0.14799E-05   -0.36066E-08    0.18978E-11
   162    0.44979E+03   -0.13908E+02    0.14562E-05   -0.13908E+02    0.90726E+00   -0.35725E-08    0.14562E-05   -0.35725E-08    0.18631E-11
   163    0.44800E+03   -0.13722E+02    0.14329E-05   -0.13722E+02    0.89847E+00   -0.35409E-08    0.14329E-05   -0.35409E-08    0.18291E-11
   164    0.44602E+03   -0.13531E+02    0.14102E-05   -0.13531E+02    0.88949E+00   -0.35113E-08    0.14102E-05   -0.35113E-08    0.17960E-11
   165    0.44416E+03   -0.13333E+02    0.13878E-05   -0.13333E+02    0.88027E+00   -0.34831E-08    0.13878E-05   -0.34831E-08    0.17636E-11
   166    0.44229E+03   -0.13129E+02    0.13660E-05   -0.13129E+02    0.87093E+00   -0.34558E-08    0.13660E-05   -0.34558E-08    0.17320E-11
   167    0.44048E+03   -0.12921E+02    0.13445E-05   -0.12921E+02    0.86128E+00   -0.34289E-08    0.13445E-05   -0.34289E-08    0.17011E-11
   168    0.43853E+03   -0.12706E+02    0.13235E-05   -0.12706E+02    0.85166E+00   -0.34020E-08    0.13235E-05   -0.34020E-08    0.16710E-11
   169    0.43659E+03   -0.12485E+02    0.13029E-05   -0.12485E+02    0.84179E+00   -0.33743E-08    0.13029E-05   -0.33743E-08    0.16416E-11
   170    0.43467E+03   -0.12258E+02    0.12828E-05   -0.12258E+02    0.83189E+00   -0.33456E-08    0.12828E-05   -0.33456E-08    0.16128E-11
   171    0.43262E+03   -0.12025E+02    0.12630E-05   -0.12025E+02    0.82196E+00   -0.33152E-08    0.12630E-05   -0.33152E-08    0.15847E-11
   172    0.43054E+03   -0.11787E+02    0.12436E-05   -0.11787E+02    0.81193E+00   -0.32827E-08    0.12436E-05   -0.32827E-08    0.15572E-11
   173    0.42835E+03   -0.11543E+02    0.12245E-05   -0.11543E+02    0.80179E+00   -0.32474E-08    0.12245E-05   -0.32474E-08    0.15303E-11
   174    0.42622E+03   -0.11295E+02    0.12058E-05   -0.11295E+02    0.79185E+00   -0.32090E-08    0.12058E-05   -0.32090E-08    0.15040E-11
   175    0.42408E+03   -0.11041E+02    0.11875E-05   -0.11041E+02    0.78180E+00   -0.31669E-08    0.11875E-05   -0.31669E-08    0.14782E-11
   176    0.42179E+03   -0.10781E+02    0.11695E-05   -0.10781E+02    0.77188E+00   -0.31206E-08    0.11695E-05   -0.31206E-08    0.14530E-11
